"Reference","Value","Footprint","Datasheet","Qty","DNP","Exclude from BOM","Exclude from Board"
"C1,C3,C4,C7,C9,C10,C16,C17,C44","0.1uF","Capacitor_SMD:C_0402_1005Metric","~","9","","",""
"C2,C8,C19,C24","1uF","Capacitor_SMD:C_0402_1005Metric","~","4","","",""
"C5,C6","8pF","Capacitor_SMD:C_0402_1005Metric","~","2","","",""
"C11,C12,C14,C15,C28,C29,C30,C32,C34","47nF","Capacitor_SMD:C_0402_1005Metric","~","9","","",""
"C13","0.22uF","Capacitor_SMD:C_0402_1005Metric","~","1","","",""
"C18","10uF","Capacitor_SMD:C_0402_1005Metric","~","1","","",""
"C20,C21","4.7uF","Capacitor_SMD:C_0402_1005Metric","~","2","","",""
"C22,C33,C35","10nF","Capacitor_SMD:C_0402_1005Metric","~","3","","",""
"C23","47uF","Capacitor_SMD:C_1206_3216Metric","~","1","","",""
"C25,C26","10pF","Capacitor_SMD:C_0402_1005Metric","~","2","","",""
"C27","1.8nF","Capacitor_SMD:C_0402_1005Metric","~","1","","",""
"C31","56pF","Capacitor_SMD:C_0402_1005Metric","~","1","","",""
"C36","100pF","Capacitor_SMD:C_0402_1005Metric","~","1","","",""
"C37,C38,C39","5.1pF","Capacitor_SMD:C_0402_1005Metric","~","3","","",""
"C40","39pF","Capacitor_SMD:C_0402_1005Metric","~","1","","",""
"C41","2.2pF","Capacitor_SMD:C_0402_1005Metric","~","1","","",""
"C42","6.2pF","Capacitor_SMD:C_0402_1005Metric","~","1","","",""
"C43","10nF X7R","Capacitor_SMD:C_0402_1005Metric","~","1","","",""
"D1","DFLS130L","Diode_SMD:D_PowerDI-123","~","1","","",""
"D2","BAT54CW","Package_TO_SOT_SMD:SOT-323_SC-70","https://assets.nexperia.com/documents/data-sheet/BAT54W_SER.pdf","1","","",""
"D3,D4,D5","LED_Dual_AAKK","LED_SMD:LED_LiteOn_LTST-C19HE1WT","~","3","","",""
"ECS-160-8-36Q-AES-TR1","Crystal_GND24","Crystal:Crystal_SMD_2520-4Pin_2.5x2.0mm","~","1","","",""
"FB1","LI0402C221R-10","Inductor_SMD:L_0402_1005Metric","~","1","","",""
"FB2","LQG15HS47NJ02","Inductor_SMD:L_0402_1005Metric","~","1","","",""
"H1,H2,H3,H4,H5","MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_DIN965_Pad","~","5","","Excluded from BOM",""
"J1","TAGCONNECT","Connector:Tag-Connect_TC2030-IDC-NL_2x03_P1.27mm_Vertical","https://www.tag-connect.com/wp-content/uploads/bsk-pdf-manager/TC2030-CTX_1.pdf","1","","Excluded from BOM",""
"J2","Conn_01x02","Connector_PinHeader_1.27mm:PinHeader_1x02_P1.27mm_Vertical","~","1","","",""
"J3","SMA_Edgelaunch","Connector_Coaxial:SMA_Amphenol_132289_EdgeMount","~","1","","",""
"J4","USB_C_Receptacle_USB2.0_16P","Connector_USB:USB_C_Receptacle_G-Switch_GT-USB-7051x","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","1","","",""
"J5","UFL","Connector_Coaxial:U.FL_Molex_MCRF_73412-0110_Vertical","~","1","","",""
"J6","RIGHT","FCU2025Lib:CONN9_250-309_WAG","~","1","","",""
"J7","LEFT","FCU2025Lib:CONN9_250-309_WAG","~","1","","",""
"J8","BATT","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical","~","1","","",""
"J9","Conn_02x05_Counter_Clockwise","Connector_PinHeader_1.27mm:PinHeader_2x05_P1.27mm_Vertical","~","1","","",""
"J10","SERVOS","Connector_PinHeader_1.27mm:PinHeader_2x03_P1.27mm_Vertical","~","1","","",""
"L1,L2","LQG15HS56NJ02D","Inductor_SMD:L_0402_1005Metric","~","2","","",""
"L3,L4","LQG15HZ27NJ02D","Inductor_SMD:L_0402_1005Metric","~","2","","",""
"L5,L6","LQG15HS15NJ02D","Inductor_SMD:L_0402_1005Metric","~","2","","",""
"L7","MLG1005S43NJTD25","Inductor_SMD:L_0402_1005Metric","~","1","","",""
"L8","LQG15HS22NG02D","Inductor_SMD:L_0402_1005Metric","~","1","","",""
"Q1,Q3","SiA449DJ","Package_TO_SOT_SMD:Vishay_PowerPAK_SC70-6L_Single","http://www.vishay.com/docs/62644/sia449dj.pdf","2","","",""
"Q2","AO3400A","Package_TO_SOT_SMD:SOT-23","http://www.aosmd.com/pdfs/datasheet/AO3400A.pdf","1","","",""
