Comment,Designator,Footprint,LCSC,Quantity
1.8nF,C27,C_0402_1005Metric,C107024,1
DFLS130L,D1,D_PowerDI-123,C110493,1
56k,"R11,R12",R_0402_1005Metric,C114756,2
1k,"R17,R20,R22,R26,R3,R30,R34,R38,R39,R4,R50,R51",R_0402_1005Metric,C11702,12
CC1200,U8,QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,C122881,1
LQG15HS22NG02D,L8,L_0402_1005Metric,C12670,1
STM32L151VCTx,U1,LQFP-100_14x14mm_P0.5mm,C1338621,1
5.6k,R46,R_0402_1005Metric,C137856,1
2.49k,R37,R_0402_1005Metric,C145071,1
MCP73831-2-OT,U17,SOT-23-5,C14879,1
10nF,"C22,C33,C35,C43",C_0402_1005Metric,C15195,4
0.1uF,"C1,C10,C16,C17,C3,C4,C44,C7,C9",C_0402_1005Metric,C1525,9
100pF,C36,C_0402_1005Metric,C1546,1
8pF,"C5,C6",C_0402_1005Metric,C1549,2
10uF,C18,C_0402_1005Metric,C15525,1
6.2pF,C42,C_0402_1005Metric,C161332,1
56pF,C31,C_0402_1005Metric,C162113,1
LQG15HS56NJ02D,"L1,L2",L_0402_1005Metric,C162544,2
ECS-160-8-36Q-AES-TR1,X2,Crystal_SMD_2520-4Pin_2.5x2.0mm,C1669787,1
0.22uF,C13,C_0402_1005Metric,C16772,1
LED_Dual_AAKK,"D3,D4,D5",DualLED0606,C183840,3
BMI088,U9,Bosch_LGA-16_4.5x3mm_P0.5mm_LayoutBorder7x1y_ClockwisePinNumbering,C194919,1
WE-TVS-82400102,U2,SOT-23-6,C1975330,1
MLG1005S43NJTD25,L7,L_0402_1005Metric,C2042359,1
AO3400A,Q2,SOT-23,C20917,1
SISB46DN,"U20,U22,U23",PowerPak1212-8-Dual,C22366987,3
8.06k,R41,R_0402_1005Metric,C227258,1
4.7uF,"C20,C21",C_0402_1005Metric,C23733,2
10R 0.25W,R54,R_0402_1005Metric,C25077,1
18,R48,R_0402_1005Metric,C25084,1
220,"R5,R6,R7,R8",R_0402_1005Metric,C25091,4
22,"R10,R9",R_0402_1005Metric,C25092,2
ABM8W-40.0000MHZ,Y1,Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm,C255943,1
100k,"R13,R14,R23,R27,R31,R35,R44,R49,R52,R53",R_0402_1005Metric,C25741,10
10k,"R40,R42,R47",R_0402_1005Metric,C25744,3
12k,"R15,R16,R24,R28,R32,R36,R45",R_0402_1005Metric,C25752,7
3.3k,"R18,R19,R21,R25,R29,R33",R_0402_1005Metric,C25890,6
5.1k,"R1,R2",R_0402_1005Metric,C25905,2
LI0402C221R-10,FB1,L_0402_1005Metric,C269768,1
9.09k,R43,R_0402_1005Metric,C274897,1
UFL,J5,U.FL_Molex_MCRF_73412-0110_Vertical,C277719,1
TC2185-3.3VxCTTR,U18,SOT-23-5,C2798212,1
5.1pF,"C37,C38,C39",C_0402_1005Metric,C281761,3
W25Q64JVXGIQ,U19,DFN_XGIQ TR_WIN,C2940195,1
LM293QT,"U12,U13,U15",DFN-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,C2970217,3
39pF,C40,C_0402_1005Metric,C327068,1
10pF,"C25,C26",C_0402_1005Metric,C32949,2
MMC5983MA,U10,LGA-16_3x3mm_P0.5mm,C404329,1
MAX-M10S,U5,ublox_MAX,C4153167,1
SN74LVC1G80QDCKTQ1,U21,SOT-353_SC-70-5,C473331,1
ADXL375,U3,LGA-14_3x5mm_P0.8mm_LayoutBorder1x6y,C481898,1
1uF,"C19,C2,C24,C8",C_0402_1005Metric,C52923,4
LQG15HZ27NJ02D,"L3,L4",L_0402_1005Metric,C560069,2
47nF,"C11,C12,C14,C15,C28,C29,C30,C32,C34",C_0402_1005Metric,C576715,9
100k,R55,R_0402_1005Metric,C60491,1
MCP130-xxxxTT,U6,SOT-23,C625194,1
SiA449DJ,"Q1,Q3,Q4",Vishay_PowerPAK_SC70-6L_Single,C727325,3
BAT54CW,D2,SOT-323_SC-70,C82467,1
LQG15HS15NJ02D,"L5,L6",L_0402_1005Metric,C86059,2
2.2pF,C41,C_0402_1005Metric,C88887,1
47uF,C23,C_1206_3216Metric,C96123,1
MS5607-02BA,U4,LGA-8_3x5mm_P1.25mm,C97627,1
LQG15HS47NJ02,FB2,L_0402_1005Metric,C97998,1
DRV5012AEDMRR,U7,Texas_X2SON-4-1EP_1.1x1.4mm_P0.5mm_EP0.8x0.6mm,,1
RIGHT,J6,CONN9_250-309_WAG,,1
BATT,J8,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,,1
USB_C_Receptacle_USB2.0_16P,J4,USB_C_Receptacle_G-Switch_GT-USB-7051x,,1
Conn_02x05_Counter_Clockwise,J9,PinHeader_2x05_P1.27mm_Vertical,,1
SERVOS,J10,PinHeader_2x03_P1.27mm_Vertical,,1
Conn_01x02,J2,PinHeader_1x02_P1.27mm_Vertical,,1
LEFT,J7,CONN9_250-309_WAG,,1
SMA_Edgelaunch,J3,SMA_Amphenol_132289_EdgeMount,,1
