Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0402_1005Metric,23.5,-47.5,270.0,bottom
C10,0.1uF,C_0402_1005Metric,48.15,-43.25,180.0,bottom
C11,47nF,C_0402_1005Metric,45.72,-28.0,0.0,bottom
C12,47nF,C_0402_1005Metric,43.304615,-37.230439,90.0,bottom
C13,0.22uF,C_0402_1005Metric,41.433591,-37.29038,90.0,bottom
C14,47nF,C_0402_1005Metric,48.1,-28.0,0.0,bottom
C15,47nF,C_0402_1005Metric,42.373826,-37.279447,90.0,bottom
C2,1uF,C_0402_1005Metric,24.5,-47.5,270.0,bottom
C25,10pF,C_0402_1005Metric,47.246477,-36.988664,0.0,bottom
C26,10pF,C_0402_1005Metric,48.326477,-31.788664,180.0,bottom
C27,1.8nF,C_0402_1005Metric,45.719429,-28.933495,0.0,bottom
C28,47nF,C_0402_1005Metric,38.96729,-33.752686,180.0,bottom
C29,47nF,C_0402_1005Metric,38.93,-31.83,180.0,bottom
C3,0.1uF,C_0402_1005Metric,25.3,-49.0,180.0,bottom
C30,47nF,C_0402_1005Metric,48.09704,-29.902436,0.0,bottom
C31,56pF,C_0402_1005Metric,37.08,-31.3,180.0,bottom
C32,47nF,C_0402_1005Metric,48.093003,-28.95778,0.0,bottom
C33,10nF,C_0402_1005Metric,45.719525,-27.040563,0.0,bottom
C34,47nF,C_0402_1005Metric,48.096887,-30.866862,0.0,bottom
C35,10nF,C_0402_1005Metric,35.206989,-31.28896,180.0,bottom
C36,100pF,C_0402_1005Metric,35.208267,-30.348244,180.0,bottom
C37,5.1pF,C_0402_1005Metric,42.0,-27.82,90.0,bottom
C38,5.1pF,C_0402_1005Metric,38.461596,-28.485589,0.0,bottom
C39,5.1pF,C_0402_1005Metric,40.117623,-27.790357,270.0,bottom
C4,0.1uF,C_0402_1005Metric,23.58,-45.4,0.0,bottom
C40,39pF,C_0402_1005Metric,38.926616,-29.971287,180.0,bottom
C41,2.2pF,C_0402_1005Metric,36.135334,-28.930958,270.0,bottom
C42,6.2pF,C_0402_1005Metric,35.217736,-28.926743,270.0,bottom
C43,10nF X7R,C_0402_1005Metric,34.128426,-35.512033,270.0,bottom
C5,8pF,C_0402_1005Metric,22.2,-50.125,180.0,bottom
C6,8pF,C_0402_1005Metric,22.2,-54.725,0.0,bottom
C9,0.1uF,C_0402_1005Metric,24.95,-27.15,0.0,bottom
D3,LED_Dual_AAKK,DualLED0606,48.325,-53.325,270.0,bottom
FB1,LI0402C221R-10,L_0402_1005Metric,25.8,-47.6,90.0,bottom
FB2,LQG15HS47NJ02,L_0402_1005Metric,33.2,-33.6,270.0,bottom
J5,UFL,U.FL_Molex_MCRF_73412-0110_Vertical,35.4,-38.9,180.0,bottom
L1,LQG15HS56NJ02D,L_0402_1005Metric,42.415,-29.2,0.0,bottom
L2,LQG15HS56NJ02D,L_0402_1005Metric,38.915,-30.8975,0.0,bottom
L3,LQG15HZ27NJ02D,L_0402_1005Metric,42.964656,-27.795824,90.0,bottom
L4,LQG15HZ27NJ02D,L_0402_1005Metric,41.059656,-27.764423,270.0,bottom
L5,LQG15HS15NJ02D,L_0402_1005Metric,38.685,-27.5,0.0,bottom
L6,LQG15HS15NJ02D,L_0402_1005Metric,37.073792,-28.950841,90.0,bottom
L7,MLG1005S43NJTD25,L_0402_1005Metric,36.8,-27.5,0.0,bottom
L8,LQG15HS22NG02D,L_0402_1005Metric,35.3,-26.915,90.0,bottom
R11,56k,R_0402_1005Metric,20.9,-44.3,270.0,bottom
R12,56k,R_0402_1005Metric,39.0,-32.8,180.0,bottom
R3,1k,R_0402_1005Metric,46.0,-52.799999,180.0,bottom
R4,1k,R_0402_1005Metric,46.0,-53.8,180.0,bottom
R48,18,R_0402_1005Metric,37.06,-30.36,180.0,bottom
R5,220,R_0402_1005Metric,46.009999,-48.7,180.0,bottom
R54,10R 0.25W,R_0402_1005Metric,33.2,-35.490001,90.0,bottom
R6,220,R_0402_1005Metric,46.009999,-49.699999,180.0,bottom
R7,220,R_0402_1005Metric,46.009999,-51.7,180.0,bottom
R8,220,R_0402_1005Metric,46.0,-50.7,180.0,bottom
U1,STM32L151VCTx,LQFP-100_14x14mm_P0.5mm,35.025,-51.9,180.0,bottom
U19,W25Q64JVXGIQ,DFN_XGIQ TR_WIN,42.4315,-40.50005,0.0,bottom
U4,MS5607-02BA,LGA-8_3x5mm_P1.25mm,26.225,-29.475,270.0,bottom
U6,MCP130-xxxxTT,SOT-23,47.762499,-41.0,0.0,bottom
U8,CC1200,QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,43.0625,-33.0375,90.0,bottom
X2,ECS-160-8-36Q-AES-TR,Crystal_SMD_2520-4Pin_2.5x2.0mm,22.9,-52.375,90.0,bottom
Y1,ABM8W-40.0000MHZ,Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm,48.076477,-34.388663,270.0,bottom
